Other	Mado manages to escape and kidnaps the <e1> scientist </e1> 's <e2> niece </e2> .
Other	Most <e1> people </e1> are familiar with <e2> feelings </e2> of anxiety .
Message-Topic(e1,e2)	This <e1> book </e1> approaches <e2> painting </e2> in a traditional manner with an extreme sensitivity to light and texture .
Product-Producer(e1,e2)	<e1> Brickwork </e1> is masonry produced by a <e2> bricklayer </e2> , using bricks and mortar to build up brick structures such as walls .
Entity-Origin(e1,e2)	<e1> Polonium </e1> is distilled from <e2> bismuth </e2> under vacuum in a pot provided with a cover carrying a condenser which is positioned inside the pot .
Instrument-Agency(e2,e1)	<e1> Governments </e1> , frightened of losing votes , resolved the crisis through <e2> subsidization </e2> .
Instrument-Agency(e2,e1)	The nail <e1> gun </e1> drives the <e2> nail </e2> using a single rapid stroke so that heat is generated by friction between the nail and the wood .
Other	A <e1> facilitator </e1> keeps the <e2> discussion </e2> focused and limited to the allotted time , while the recorder keeps a written record of the panel 's recommendations .
Other	We report the second case of ureteropelvic junction <e1> obstruction </e1> after radiofrequency <e2> ablation </e2> that resulted in nephrectomy .
Other	<e1> Mom </e1> of 5 succeeded with can-do <e2> attitude </e2> .
Instrument-Agency(e2,e1)	In that case , the <e1> doctor </e1> stops the bleeding with <e2> hormones </e2> .
Entity-Origin(e1,e2)	<e1> Eggs </e1> come out of the female 's <e2> body </e2> through the ovipositor .
Content-Container(e2,e1)	This video segment , adapted from ZOOM , demonstrates how to use a drinking straw and a <e1> bottle </e1> full of <e2> water </e2> to make low - and high-pitched sounds .
Message-Topic(e1,e2)	He also appeared in a television <e1> commercial </e1> against internet movie <e2> piracy </e2> .
Other	Our political <e1> prisoner </e1> is falling into <e2> oblivion </e2> .
Other	Biology is the <e1> natural science </e1> concerned with the <e2> study </e2> of life and living organisms .
Product-Producer(e1,e2)	Next we stopped by a pine table where an arrangement of cobalt blue `` knitted '' <e1> bowls </e1> by a South African <e2> ceramicist </e2> complemented a neat stack of chic indigo denim trousers by London 's Made in Heaven .
Product-Producer(e1,e2)	It is also illegal for anyone other than the <e1> drug </e1> 's <e2> manufacturer </e2> to re-import a prescription drug that was originally manufactured in the United States .
Component-Whole(e1,e2)	With its <e1> hoof </e1> the <e2> reindeer </e2> scrapes away the snow and discovers underneath the reindeer moss .
Cause-Effect(e2,e1)	Monilia , candida or yeast <e1> infections </e1> are caused by various species of <e2> candida </e2> , especially Candida albicans , and are very common in babies and young children .
Entity-Destination(e1,e2)	The moving companies transport personal <e1> items </e1> to your new <e2> home </e2> .
Other	The <e1> committee </e1> is approaching the final <e2> decision </e2> .
Entity-Destination(e1,e2)	Pet owners have released <e1> pythons </e1> into the <e2> wild </e2> when they had grown too large for the owners to care for them .
Instrument-Agency(e1,e2)	Brainwashing <e1> techniques </e1> were used by some British <e2> interrogators </e2> during World War II .
Other	British <e1> troops </e1> made their deepest <e2> incursion </e2> into Basra yesterday , `` poking a toe '' within four miles of the centre .
Content-Container(e1,e2)	<e1> Mobile </e1> lost in the ocean was found in a cod <e2> belly </e2> .
Cause-Effect(e2,e1)	<e1> Weak ligaments </e1> are caused by <e2> problems </e2> with collagen -LRB- protein fibres in the ligaments -RRB- .
Content-Container(e1,e2)	Growers store the <e1> tubers </e1> in a perforated plastic <e2> bag </e2> filled with peat moss or vermiculite in a cool , dark place .
Entity-Destination(e1,e2)	The mechanism transported <e1> dust </e1> into shadowed <e2> regions </e2> .
Instrument-Agency(e2,e1)	<e1> Doctors </e1> treated the cancer with an experimental bone-marrow transplant <e2> procedure </e2> at Berlin 's Charite hospital .
Component-Whole(e1,e2)	Interestingly , the <e1> sink </e1> was inside the <e2> room </e2> .
Component-Whole(e2,e1)	TGMC is a public , non-profit integrated healthcare <e1> system </e1> consisting of a 299 licensed bed acute care <e2> facility </e2> complete with a range of services such as rehabilitation and skilled nursing units , an outpatient surgery center , emergency care services , primary care services and a community outreach center .
Message-Topic(e2,e1)	The <e1> restaurant </e1> is advertised by the official municipal <e2> website </e2> .
Cause-Effect(e2,e1)	Aware of the <e1> suffering </e1> caused by the <e2> destruction </e2> of life , I am committed to cultivating compassion and learning ways to protect the lives of people , animals , plants , and minerals .
